payment_type,payment_value,orders,avg_payment,avg_installments,payment_share_pct
credit_card,15715138.52,75387,183.37812457700295,3.6519055287171227,76.7688357185069
boleto,4086820.71,19784,177.40247037374658,1.0,19.96421904253007
voucher,412399.51,2739,138.01857764390897,1.4902945113788488,2.0145816846151954
debit_card,256367.92,1527,151.16033018867924,1.0,1.2523635543478062
not_defined,0.0,3,0.0,1.0,0.0
