payment_type,orders,avg_sales_amount,avg_payment_value,avg_payment_gap
boleto,19784,104.58414571216164,177.40247037374658,53.24088468098133
credit_card,75387,126.04404253820692,183.37812457700295,37.04558231800361
debit_card,1527,108.72164002368265,151.16033018867924,22.72121965660154
not_defined,3,,0.0,
voucher,2739,96.01520883672765,138.01857764390897,18.23546427338626
