delivery_bucket,orders,percentage
0-3 days,4753,4.926613872880302
4-7 days,21293,22.070774078527304
8-14 days,40215,41.683942120320076
15-21 days,17713,18.360006633774205
22-30 days,7949,8.239354865458766
30+ days,4553,4.719308429039346
