product_category_name,orders,avg_review_score,positive_review_rate
cds_dvds_musicais,12,4.642857142857143,92.85714285714286
fashion_roupa_infanto_juvenil,8,4.5,87.5
livros_interesse_geral,508,4.446265938069216,87.7959927140255
construcao_ferramentas_ferramentas,94,4.444444444444445,90.9090909090909
flores,28,4.419354838709677,87.09677419354838
livros_importados,53,4.4,85.0
livros_tecnicos,257,4.363636363636363,85.22727272727273
malas_acessorios,1030,4.315257352941177,83.73161764705883
alimentos_bebidas,226,4.312274368231047,81.58844765342961
portateis_casa_forno_e_cafe,75,4.302631578947368,84.21052631578947
fashion_calcados,236,4.238372093023256,80.62015503875969
fashion_esporte,27,4.233333333333333,83.33333333333334
alimentos,445,4.218181818181818,81.81818181818183
musica,38,4.2105263157894735,78.94736842105263
papelaria,2295,4.195478191276511,80.75230092036814
cine_foto,65,4.194444444444445,77.77777777777779
pet_shop,1701,4.184305627258647,79.65926690758906
pcs,178,4.175,81.5
eletrodomesticos,761,4.166449652777778,79.55729166666666
perfumaria,3150,4.166079295154185,79.06020558002936
brinquedos,3853,4.159564046044575,78.79010531471957
instrumentos_musicais,622,4.1513353115727005,79.37685459940653
eletroportateis,624,4.148588410104012,80.0891530460624
cool_stuff,3599,4.146597554492291,78.6815523657629
fashion_bolsas_e_acessorios,1854,4.14529702970297,78.86138613861387
beleza_saude,8771,4.141826588791545,78.41051314142679
eletrodomesticos_2,232,4.139830508474576,80.08474576271186
artes_e_artesanato,23,4.125,75.0
tablets_impressao_imagem,77,4.1234567901234565,79.01234567901234
moveis_quarto,95,4.114678899082569,78.89908256880734
esporte_lazer,7669,4.10703880666589,77.97459503554364
industria_comercio_e_negocios,233,4.09811320754717,77.35849056603774
sinalizacao_e_seguranca,138,4.086294416243655,73.60406091370558
dvds_blu_ray,58,4.079365079365079,80.95238095238095
automotivo,3877,4.064885496183206,77.00381679389314
utilidades_domesticas,5843,4.054784619832321,75.74443480774791
construcao_ferramentas_construcao,743,4.0519480519480515,75.32467532467533
construcao_ferramentas_iluminacao,241,4.0508474576271185,74.91525423728814
construcao_ferramentas_jardim,194,4.046218487394958,76.89075630252101
ferramentas_jardim,3496,4.045538818076477,75.99073001158749
bebidas,296,4.037533512064343,76.94369973190348
eletronicos,2531,4.037117903930131,76.41921397379913
consoles_games,1052,4.023534635879218,74.42273534635879
artigos_de_natal,126,4.02054794520548,77.3972602739726
market_place,278,4.019417475728155,75.72815533980582
relogios_presentes,5576,4.018855218855219,74.83164983164983
bebes,2861,4.010690789473684,74.70394736842105
la_cuisine,12,4.0,76.92307692307693
agro_industria_e_comercio,182,4.0,77.83018867924528
fashion_underwear_e_moda_praia,120,3.976923076923077,75.38461538461539
climatizacao,249,3.969178082191781,73.97260273972603
moveis_cozinha_area_de_servico_jantar_e_jardim,246,3.967741935483871,73.47670250896059
telefonia,4168,3.9459219858156027,72.93882978723404
casa_construcao,487,3.9382303839732886,73.62270450751252
artes,200,3.9371980676328504,72.94685990338165
informatica_acessorios,6649,3.9326008738113596,73.10460035980468
moveis_decoracao,6398,3.9073333333333333,71.51515151515152
moveis_sala,417,3.9016064257028114,70.88353413654619
cama_mesa_banho,9313,3.898333636860317,71.03441995993444
construcao_ferramentas_seguranca,166,3.844559585492228,70.98445595854922
unknown,1439,3.839836375078666,71.42857142857143
casa_conforto,395,3.8333333333333335,66.89814814814815
audio,347,3.8319444444444444,68.61111111111111
moveis_colchao_e_estofado,38,3.8157894736842106,71.05263157894737
fashion_roupa_feminina,39,3.78125,66.66666666666666
artigos_de_festas,39,3.7674418604651163,65.11627906976744
telefonia_fixa,214,3.681992337164751,67.04980842911877
fashion_roupa_masculina,111,3.6412213740458017,66.41221374045801
casa_conforto_2,23,3.6296296296296298,62.96296296296296
moveis_escritorio,1263,3.48896839594514,59.511031604054864
pc_gamer,8,3.3333333333333335,66.66666666666666
portateis_cozinha_e_preparadores_de_alimentos,14,3.2666666666666666,46.666666666666664
fraldas_higiene,27,3.2564102564102564,46.15384615384615
seguros_e_servicos,2,2.5,50.0
