review_score,orders,avg_payment,avg_installments
1.0,11316,242.03135075954566,3.325372930067059
1.5,8,271.49111111111114,2.611111111111111
2.0,3125,202.65479845956352,3.230808729139923
2.5,34,146.6408695652174,3.5652173913043477
3.0,8136,175.4934184592561,3.066652537882802
3.333333333333333,1,42.11,1.0
3.5,25,153.6309677419355,3.6451612903225805
4.0,19018,170.97229927351637,2.877205396735541
4.333333333333333,1,42.77,4.0
4.5,54,187.5295588235294,3.9411764705882355
5.0,56955,167.84494236128705,2.9638649607296683
